"Title","ID","Thumbnail Image","Background Image","Sort Order","Author Image","About the Author","Instructor File","Student File","Slug","Short Description","Content Description","Author Name","Single Item","Category List","Type Plural","Type","Audience","Other Disciplines","Software","Skills","Distributed Content Filter (All)","Created date","Updated date","Owner","Primary Discipline"
"Division Accounting Manager","5ca668ee-2665-4c21-b0b8-15ed3dd213f8","wix:image://v1/16741c_2a3642b47505409ca54b5c9cd6893f93~mv2.png/Icon%20Org%20Chart.png#originWidth=8339&originHeight=8339","wix:image://v1/11062b_6dd0686f46df414eaae0238e00f9be33~mv2.jpg/Accounting%20Documents.jpg#originWidth=4288&originHeight=2848",,"wix:image://v1/e18baa_0ed4efcd3cd34b10bd28e3a2be106ab8~mv2.jpg/Fei%20Du.jpg#originWidth=680&originHeight=800","PhD
Assistant Professor of Accountancy
Gies College of Business
R.C. Evans Data Analytics Fellow
University of Illinois at Urbana-Champaign","wix:document://v1/ugd/ba2a2d_aaf5d9ef8a5f45bf9fdd851139ac58f0.pdf/DivisionAccountingManager.pdf",,"division-accounting-manager","How much controller autonomy should be given?","Imagine yourself as an accounting manager in a business unit. You report to two bosses in the organization: a local boss, the general manager at the business unit (BU), and a headquarters boss (HQT), the CFO at the headquarters. 

The divisional accounting managers (DAM) have dual responsibility and provide information both to the business units and top management. First is functional responsibility. You assure that top management know the “true” financial state of the business unit. This includes regular reporting and also maintaining an informal communication line with the functional superior, such as providing early warning signals and independent judgment. Second is local responsibility. You are in charge of the local accounting system and provide reports relevant for decision-making of business unit level management. 

Should we constrain the divisional accounting managers’ autonomy to make sure you fulfill the verification role and are fully held accountable to HQT? If too much constraint is placed there, are we sacrificing the divisional accounting managers’ local responsibility in helping BU managers to make decisions? How much controller autonomy should be given?
","Fei Du","/content/mini-case-studies/division-accounting-manager","/content/mini-case-studies","Mini Case Studies","5c85f130-d90f-4efd-b70c-a2b740604f7c",,,,,"/content/filter",2021-08-19T06:13:14Z,2021-08-25T08:04:40Z,"c38fd449-8de3-4bf2-ada3-cc54499e7d57",
"How to Write Data Cases","75714ef3-46e4-4a73-87ff-7c656184be20",,"wix:image://v1/nsplsh_6e3c4da4f3144086bac4918774e297b4~mv2.jpg/Image%20by%20Etienne%20Girardet.jpg#originWidth=3671&originHeight=2753",50,"wix:image://v1/c38fd4_c3c09a73d71c4dfb9930fa75ad93fd02~mv2.jpg/kertcher-L_edited.jpg#originWidth=392&originHeight=345","Clinical Assistant Professor of Business Administration","wix:document://v1/ugd/c38fd4_1f180d82abaa4f40ade43aff8498f21c.pdf/DataCases_HowTo.pdf",,"how-to-write-data-cases","This guide discusses good data for a case along with components of a data case.","A data case is an adaptation of the well-known teaching case that is more focused on data and related methods
in analytics. The aim of this document is to outline data cases and primary options for developing them. What are
good data for a case and how to find them, along with components found in a data case are further discussed.","Zack Kertcher","/content/case-studies/how-to-write-data-cases","/content/case-studies","Case Studies","6e8508fb-8c77-4b76-bb06-e3d23cb57112","[""Faculty""]",,,,"/content/filter",2021-12-02T19:17:44Z,2021-12-16T16:50:36Z,"c38fd449-8de3-4bf2-ada3-cc54499e7d57",
"Delegation","824891d1-4296-4545-a89c-b85cdf352e00","wix:image://v1/16741c_10aeed3fc2db48de8b2d49987fe9f749~mv2.png/Icon%20Delegate.png#originWidth=8339&originHeight=8339","wix:image://v1/e18baa_f9ccaab64b224e2496469312a2aabe0c~mv2.jpg/delegation.jpg#originWidth=5400&originHeight=3375",,"wix:image://v1/e18baa_0ed4efcd3cd34b10bd28e3a2be106ab8~mv2.jpg/Fei%20Du.jpg#originWidth=680&originHeight=800","PhD
Assistant Professor of Accountancy
Gies College of Business
R.C. Evans Data Analytics Fellow
University of Illinois at Urbana-Champaign","wix:document://v1/ugd/ba2a2d_7117259ed8874f5c82bc9833e3c3ed5c.pdf/Delegation.pdf",,"delegation","Do you make decisions in a more centralized or a more decentralized way?","Imagine yourself inheriting a family hotel business from your parents who were founders and have worked in this business for more than three decades. Will you make decisions in a more centralized way or a more decentralized way after you take over the family business as a rookie CEO with zero experience?","Fei Du","/content/mini-case-studies/delegation","/content/mini-case-studies","Mini Case Studies","5c85f130-d90f-4efd-b70c-a2b740604f7c","[""Student""]",,,,"/content/filter",2021-08-19T06:13:14Z,2021-09-29T17:48:16Z,"c38fd449-8de3-4bf2-ada3-cc54499e7d57",
"Reward vs. Punish","92f3678d-b1d9-4f1a-b647-980cb414366c","wix:image://v1/16741c_09891f033f0a4902950fe7e8509016a0~mv2.png/Icon%20Money%20Stack.png#originWidth=8339&originHeight=8339","wix:image://v1/e18baa_beca2e0b9cb246c78435137dc6e91a33~mv2.jpg/reward.jpg#originWidth=4000&originHeight=2666",,"wix:image://v1/e18baa_0ed4efcd3cd34b10bd28e3a2be106ab8~mv2.jpg/Fei%20Du.jpg#originWidth=680&originHeight=800","PhD
Assistant Professor of Accountancy
Gies College of Business
R.C. Evans Data Analytics Fellow
University of Illinois at Urbana-Champaign","wix:document://v1/ugd/ba2a2d_03ddf2ead79848219fced76acda2ad23.pdf/RewardPunish.pdf",,"reward-vs.-punish","Which option do you prefer and is more motivating?","Imagine choosing between two economically equivalent contract designs: 
(1) You receive $80 base pay and a $20 bonus if you meet your target. 
(2) You receive $100 base pay and a $20 penalty if you do not meet your target. 

Which do you prefer? Which one is more motivating?","Fei Du","/content/mini-case-studies/reward-vs.-punish","/content/mini-case-studies","Mini Case Studies","5c85f130-d90f-4efd-b70c-a2b740604f7c",,,,,"/content/filter",2021-08-19T06:13:14Z,2021-09-01T14:09:49Z,"c38fd449-8de3-4bf2-ada3-cc54499e7d57",
"First Course in Foundations of Data Analytics","95e5a1ae-5b9f-4d10-b1de-47fe89920fc1","wix:image://v1/16741c_b9994e786c784084bc1fa17a6b3ae746~mv2.png/Icon%20Code%20Search.png#originWidth=8339&originHeight=8339","wix:image://v1/11062b_24b263a1f4d94e7c82205ee8cb2a92f0~mv2.jpg/Rectangle%20Shapes.jpg#originWidth=8630&originHeight=4480",,"wix:image://v1/c38fd4_b3004d9d02654f8bbfa1f36702ef1c58~mv2.jpg/bigdog-L_edited.jpg#originWidth=445&originHeight=412","Associate Dean for Innovation and Chief Disruption Officer and Professor of Accountancy and Arthur Andersen Faculty Fellow","wix:document://v1/archives/ba2a2d_e41443aa317543bd9e86f13f27ac4a4c.zip/570a-master.zip",,"first-course-in-foundations-of-data-analytics","The First Course in Foundations of Data Analytics consists of Python programming, data analysis, visualization, and more.","The First Course in Foundations of Data Analytics consists of 60 hours of curriculum broken up into eight modules that can be used on their own or integrated into existing curriculum. Each module contains multiple lessons, which each include a short video and assigned reading.

Module #1: Foundations
Module #2: Introduction to Python Programming
Module #3: Introduction to Data Analysis
Module #4: Statistical Data Analysis
Module #5: Introduction to Visualization
Module #6: Introduction to Probability
Module #7: Exploring Two-Dimensional Data
Module #8: Introduction to Kernel Density Estimation

If you have additional questions or would like to provide feedback, email us.","Robert Brunner","/content/courses/first-course-in-foundations-of-data-analytics","/content/courses","Courses","ec0aa426-df38-479a-b61d-136ae2133bde",,,,,"/content/filter",2021-08-19T06:13:14Z,2022-01-11T22:59:14Z,"c38fd449-8de3-4bf2-ada3-cc54499e7d57",
"Off-the-job Behavior","97ef41ca-829f-43ed-b7c2-ff6301bb28e8","wix:image://v1/16741c_c9fd62fc672d43b38a5f8380019643ef~mv2.png/Icon%20Computer%20Profile.png#originWidth=8339&originHeight=8339","wix:image://v1/nsplsh_4cd4821366934bec9ce6b6912f3edd85~mv2.jpg/Image%20by%20Rami%20Al-zayat.jpg#originWidth=5184&originHeight=3456",,"wix:image://v1/e18baa_0ed4efcd3cd34b10bd28e3a2be106ab8~mv2.jpg/Fei%20Du.jpg#originWidth=680&originHeight=800","Fei Du, PhD
Assistant Professor of Accountancy
Gies College of Business
R.C. Evans Data Analytics Fellow
University of Illinois at Urbana-Champaign

Minjeong (MJ) Kim
PhD Student in Accountancy
Gies College of Business
University of Illinois at Urbana-Champaign","wix:document://v1/ugd/e18baa_84cd73a8bf8a49089cb11db5f2e85ebf.pdf/OffJobBehavior.pdf",,"off-the-job-behavior","Is it ethical to use the information from the applicants' social media page?","Imagine you are recruiting new members for a student club. The club members foster puppies and train these puppies to help them become successful service dogs. You are looking for applicants who are friendly and experienced with dogs. While you are going through the applications, you find that another club member had put together a database of the information of what the applicants posted on their social media. You notice that some of the applicants have pictures of themselves with dogs or pictures of themselves volunteering at local charity events, while others do not. You wonder if the applicants with pictures of dogs or volunteer activities would be a better fit for your club compared to the other applicants. 

Would you use the information you learned from the applicants’ social media pages when determining who should join the club? Do you think using the information from the social media page is ethical?
","Minjeong (MJ) Kim & Fei Du","/content/mini-case-studies/off-the-job-behavior","/content/mini-case-studies","Mini Case Studies","5c85f130-d90f-4efd-b70c-a2b740604f7c",,,,,"/content/filter",2021-08-19T06:13:14Z,2021-08-25T08:06:51Z,"c38fd449-8de3-4bf2-ada3-cc54499e7d57",
"Chicago Cab Case","986d1a26-4e70-41b8-89a5-35052f87f64b","wix:image://v1/16741c_28858953668f4c13a3aca20240ac54d9~mv2.png/Icon%20Taxi_edited_edited_edited.png#originWidth=1711&originHeight=1636","wix:image://v1/nsplsh_e6648fbfb48c4c7bb3499235100293cd~mv2.jpg/Image%20by%20Jenna%20Day.jpg#originWidth=6720&originHeight=4480",30,"wix:image://v1/16741c_bdb80ec54c074f8988e7c31bedb44290~mv2.jpg/Headshot%20Hobson_Jessen_Portrait_Library_02.JPG#originWidth=4096&originHeight=2713","PhD
Professor of Accountancy
University of Illinois at Urbana-Champaign","wix:document://v1/archives/e18baa_c7ef5514694c480a806cfebdc2735ffa.zip/Chicago_Cab.zip",,"chicago-cab-case","In this case, students take the role of a new accountant who has been asked to analyze available data about the Chicago cab industry. ","The purpose of this case is to help accounting students use Python to gather and analyze data to help resolve an accounting problem. Accountants deal with data every day and are increasingly under pressure to utilize the latest tools to analyze the largest data set possible to solve client problems. This case will let you use one such tool to examine millions of rows of data—all with the goal of helping a client be more profitable. 

This case will cover the key skills needed in an analytics approach to data. First, you will be required to gather, load, and clean data. Cleaning data is a critical skill that is unavoidable on any project of real substance. Second, you will describe and explore the data. This is usually the part of any project that is the most fun. Learning how to do this effectively and efficiently is critical. Third, you will use regression analysis to draw conclusions about your data. Using predictive analytics helps the analyst have more security that their recommendations are valid. Finally, you will take what you have learned to tell a story. That is, you will use what you have learned to make a recommendation to the client. 

In this case, Yellow Cab Chicago, a hypothetical cab company in Chicago, has hired your small accounting and consulting firm to help them shave costs and increase revenues. Like many traditional cab companies, Yellow Cab is feeling significant pressure from ride-hailing companies like Lyft and Uber. Your assignment is to use an authentic, existing data set to better understand the situation Yellow Cab is facing and to investigate potential revenue opportunities. ","Jessen Hobson","/content/case-studies/chicago-cab-case","/content/case-studies","Case Studies","6e8508fb-8c77-4b76-bb06-e3d23cb57112","[""Student""]",,,"[""Regression"",""Visualization"",""Python""]","/content/filter",2021-08-19T06:13:14Z,2021-12-16T16:50:42Z,"c38fd449-8de3-4bf2-ada3-cc54499e7d57",
"Ethics Sample 3","9b54ad3a-89a7-4c48-8c8a-ea2529b0a6fa",,"wix:image://v1/nsplsh_564259b975d745ceb04be42595cb4895~mv2.jpg/Image%20by%20MARIOLA%20GROBELSKA.jpg#originWidth=3196&originHeight=1966",,,"Test Author",,,"ethics-sample-3","This is a sample item for the ethics module. Text will be replaced in the future.","These are examples of a phenomenon called emotion contagion. Emotion contagion is a process by which emotions can spread between people and among groups of people. Individuals tend to find that they feel and express emotions similar to those of other people in immediate interactions. The presence and effects of emotion contagion have been consistently replicated in laboratory research1.

In 2012, data scientists at Facebook and Cornell University partnered to explore the question of whether emotion contagion could pass from person to person through a technological platform, like Facebook. The goal of the study was to expand what researchers knew about emotion contagion in face-to-face environments to the context of digital platforms2.

For the study, the researchers conducted an experiment in which they differentially changed the main news feed for approximately 700k users. Specifically, the researchers selected a control group, whose news feed was unaltered. They then created two other groups: one group received posts in their news feed with reduced positive content, the other group received posts in their news feed with reduced negative content. The data showed that users in the “reduced positive words” group ended up posting fewer positive words themselves, and those in the “reduced negative words” group posted fewer negative words in their own subsequent posts. They also found evidence of a “withdrawal” effect, such that users exposed to less emotional content of either valence were less likely to post at all after this exposure. The effect size for this research was quite small (.0001) although the findings were statistically significant3.

Based on this data, the authors concluded that emotion contagion could spread through online platforms, in addition to spreading in face-to-face contexts. An arguably valuable and helpful finding given the prevalence of virtual communication and social media use.

Not long after the paper was published, consumer anger increased4. Media outlets reported the findings, highlighting the fact that users were not aware that they were part of the experiment.","Test Author 1 ","/content/ethics/ethics-sample-3","/content/ethics","Ethics","c8124555-d172-48c9-bdc2-b8399e44d6eb",,,,,"/content/filter",2022-01-08T02:45:34Z,2022-01-08T02:47:06Z,"c38fd449-8de3-4bf2-ada3-cc54499e7d57",
"Surrogation Bias","adb0780a-d15a-400b-b113-209885cfaf4e","wix:image://v1/16741c_9a561b58f8094651904fe5c49d499b42~mv2.png/Icon%20Bar%20LIne%20Graph.png#originWidth=8339&originHeight=8339","wix:image://v1/nsplsh_3cb6ca040a9544b193a1d2fb97cd0f3d~mv2.jpg/Image%20by%20Susan%20Q%20Yin.jpg#originWidth=4000&originHeight=2672",,"wix:image://v1/e18baa_0ed4efcd3cd34b10bd28e3a2be106ab8~mv2.jpg/Fei%20Du.jpg#originWidth=680&originHeight=800","Fei Du, PhD
Assistant Professor of Accountancy
Gies College of Business
R.C. Evans Data Analytics Fellow
University of Illinois at Urbana-Champaign

Minjeong (MJ) Kim
PhD Student in Accountancy
Gies College of Business
University of Illinois at Urbana-Champaign","wix:document://v1/ugd/e18baa_3891e9b77252423eb87beb5a22b94442.pdf/SurrogationBias.pdf",,"surrogation-bias","Is your approach the best way to achieve your strategic goals?","Imagine the following situation: During the quarantine you decide to start training for a half-marathon (13.1 miles). The goal is to complete a half-marathon without any injuries. You need to increase strength and endurance. To monitor your training progress you find a free app that tracks the miles you run every day. 

Is tracking mileages the best way to train for the half-marathon? In other words, what are the pros and cons of having a performance measure of tracking mileages each day? Does it help you achieve the goal of completing a half-marathon without any injuries?","Minjeong (MJ) Kim & Fei Du","/content/mini-case-studies/surrogation-bias","/content/mini-case-studies","Mini Case Studies","5c85f130-d90f-4efd-b70c-a2b740604f7c",,,,,"/content/filter",2021-08-19T06:13:14Z,2021-08-25T08:13:56Z,"c38fd449-8de3-4bf2-ada3-cc54499e7d57",
"Cash vs. Gift Cards","be18d2b5-acd5-43db-8751-f9c102a20a7a",,"wix:image://v1/nsplsh_a54c9ba5994c4df79d40150beff488b9~mv2.jpg/Image%20by%20Giorgio%20Trovato.jpg#originWidth=5274&originHeight=3516",,"wix:image://v1/e18baa_0ed4efcd3cd34b10bd28e3a2be106ab8~mv2.jpg/Fei%20Du.jpg#originWidth=680&originHeight=800","Fei Du, PhD
Assistant Professor of Accountancy
Gies College of Business
R.C. Evans Data Analytics Fellow
University of Illinois at Urbana-Champaign

Minjeong (MJ) Kim
PhD Student in Accountancy
Gies College of Business
University of Illinois at Urbana-Champaign","wix:document://v1/ugd/e18baa_b32a3f81f7d649c0987652bc3d25919e.pdf/CashVSGiftCards.pdf",,"cash-vs.-gift-cards","Which deal would you choose? Which deal would be more memorable if you won?","Imagine you can choose between two lotteries: In the first lottery you will have a 1% chance of winning $1,000 in cash as well as a $500 gift card that you can use at a Michelin star restaurant. In the second lottery, you will have a 1% chance of winning $1,500 in cash. 

Which deal would you choose? Which deal do you think would be more memorable if you won?","Minjeong (MJ) Kim & Fei Du","/content/mini-case-studies/cash-vs.-gift-cards","/content/mini-case-studies","Mini Case Studies","5c85f130-d90f-4efd-b70c-a2b740604f7c","[""Faculty""]",,,,"/content/filter",2021-08-19T06:13:14Z,2021-09-29T17:48:11Z,"c38fd449-8de3-4bf2-ada3-cc54499e7d57",
"Ethics Sample 2","ccd8d4c3-17dd-4279-8042-93c5524901fa",,"wix:image://v1/nsplsh_32545332336f302d705563~mv2.jpg/Image%20by%20visuals.jpg#originWidth=7500&originHeight=5001",,,"Test Author",,,"ethics-sample-2","This is a sample item for the ethics module. Text will be replaced in the future.","These are examples of a phenomenon called emotion contagion. Emotion contagion is a process by which emotions can spread between people and among groups of people. Individuals tend to find that they feel and express emotions similar to those of other people in immediate interactions. The presence and effects of emotion contagion have been consistently replicated in laboratory research1.

In 2012, data scientists at Facebook and Cornell University partnered to explore the question of whether emotion contagion could pass from person to person through a technological platform, like Facebook. The goal of the study was to expand what researchers knew about emotion contagion in face-to-face environments to the context of digital platforms2.

For the study, the researchers conducted an experiment in which they differentially changed the main news feed for approximately 700k users. Specifically, the researchers selected a control group, whose news feed was unaltered. They then created two other groups: one group received posts in their news feed with reduced positive content, the other group received posts in their news feed with reduced negative content. The data showed that users in the “reduced positive words” group ended up posting fewer positive words themselves, and those in the “reduced negative words” group posted fewer negative words in their own subsequent posts. They also found evidence of a “withdrawal” effect, such that users exposed to less emotional content of either valence were less likely to post at all after this exposure. The effect size for this research was quite small (.0001) although the findings were statistically significant3.

Based on this data, the authors concluded that emotion contagion could spread through online platforms, in addition to spreading in face-to-face contexts. An arguably valuable and helpful finding given the prevalence of virtual communication and social media use.

Not long after the paper was published, consumer anger increased4. Media outlets reported the findings, highlighting the fact that users were not aware that they were part of the experiment.","Test Author 1 ","/content/ethics/ethics-sample-2","/content/ethics","Ethics","c8124555-d172-48c9-bdc2-b8399e44d6eb",,,,,"/content/filter",2022-01-08T02:45:28Z,2022-01-08T02:47:06Z,"c38fd449-8de3-4bf2-ada3-cc54499e7d57",
"Decision Fatigue","d85061c4-5551-4f2b-8343-4418677dbbf6","wix:image://v1/16741c_4d4fa40ec8db4305966a490382db1406~mv2.png/Icon%20Choice%202.png#originWidth=8339&originHeight=8339","wix:image://v1/nsplsh_454b51e538324d279a8bf6a47367b6cb~mv2.jpg/Image%20by%20Jan%20Genge.jpg#originWidth=4368&originHeight=2912",,"wix:image://v1/e18baa_0ed4efcd3cd34b10bd28e3a2be106ab8~mv2.jpg/Fei%20Du.jpg#originWidth=680&originHeight=800","Fei Du, PhD
Assistant Professor of Accountancy
Gies College of Business
R.C. Evans Data Analytics Fellow
University of Illinois at Urbana-Champaign

Minjeong (MJ) Kim
PhD Student in Accountancy
Gies College of Business
University of Illinois at Urbana-Champaign","wix:document://v1/ugd/e18baa_215eb9028fcd4f47931e02035a67a98b.pdf/DecisionFatigue.pdf",,"decision-fatigue","What would you do in a dilemma situation and why?","Imagine a situation during exam week: You have been taking exams nonstop for the past two days and will be taking two more exams the next day (one in the morning and one in the afternoon). You plan to attend a career fair the next evening. It is almost midnight and you are very tired, but you have not finished studying for one of the exams. You could stay up longer to prepare for the exams or could stop working and sleep. 

What would you do in this situation, and why?","Minjeong (MJ) Kim & Fei Du","/content/mini-case-studies/decision-fatigue","/content/mini-case-studies","Mini Case Studies","5c85f130-d90f-4efd-b70c-a2b740604f7c","[""Student"",""Faculty""]",,,,"/content/filter",2021-08-19T06:13:14Z,2021-10-20T15:40:12Z,"c38fd449-8de3-4bf2-ada3-cc54499e7d57",
